#gene_id	taxID	e_value	fasta_id
CRE_25060	6237	4.52e-66	XP_003087014.1|CRE_25060|284
CRE_13344	6237	6.35e-154	XP_003107577.1|Cre-gos-28|234
CRE_13343	6237	1.10e-27	XP_003107543.1|CRE_13343|651
CRE_13342	6237	6.30e-86	XP_003107573.1|Cre-acbp-4|146
CRE_13341	6237	1.57e-80	XP_003107566.1|CRE_13341|356
CRE_13424	6237	1.02e-184	XP_003107599.1|CRE_13424|394
CRE_13340	6237	1.06e-23	XP_003107686.1|CRE_13340|323
CRE_13423	6237	2.52e-26	XP_003107687.1|CRE_13423|66
CRE_13339	6237	1.04e-19	XP_003107676.1|CRE_13339|367
CRE_13422	6237	1.90e-26	XP_003107607.1|CRE_13422|83
CRE_13338	6237	5.87e-141	XP_003107558.1|CRE_13338|325
CRE_13337	6237	6.38e-22	XP_003107530.1|CRE_13337|371
CRE_13336	6237	7.21e-158	XP_003107641.1|CRE_13336|277
CRE_13335	6237	2.30e-106	XP_003107690.1|CRE_13335|295
CRE_13334	6237	1.97e-233	XP_003107598.1|CRE_13334|465
CRE_13333	6237	4.80e-125	XP_003107575.1|Cre-ykt-6|201
CRE_13332	6237	3.40e-293	XP_003107642.1|CRE_13332|471
CRE_13420	6237	2.96e-134	XP_003107567.1|CRE_13420|245
CRE_13331	6237	2.39e-118	XP_003107565.1|CRE_13331|212
CRE_13419	6237	7.76e-163	XP_003107605.1|CRE_13419|281
CRE_13418	6237	6.15e-18	XP_003107539.1|CRE_13418|280
CRE_13417	6237	1.48e-125	XP_003107590.1|CRE_13417|718
CRE_13329	6237	3.08e-73	XP_003107672.1|Cre-dpy-17|373
CRE_13328	6237	2.53e-10	XP_003107596.1|CRE_13328|126
CRE_13327	6237	8.15e-69	XP_003107693.1|CRE_13327|185
CRE_13325	6237	8.09e-258	XP_003107602.1|CRE_13325|392
CRE_13345	6237	8.27e-145	XP_003107561.1|CRE_13345|228
CRE_13425	6237	1.40e-72	XP_003107689.1|CRE_13425|253
CRE_13426	6237	1.05e-102	XP_003107589.1|CRE_13426|181
CRE_12461	6231	5.84e-27	XP_003107796.1|CRE_12461|405
CRE_12477	6237	6.86e-25	XP_003107884.1|CRE_12477|70
CRE_12476	6237	6.39e-278	XP_003107818.1|CRE_12476|437
CRE_12652	6237	7.47e-82	XP_003107723.1|CRE_12652|302
CRE_12475	6237	2.48e-62	XP_003107707.1|CRE_12475|97
CRE_12651	6237	0.0	XP_003107915.1|Cre-hecd-1|2775
CRE_12650	6237	4.84e-76	XP_003107883.1|CRE_12650|131
CRE_12649	6237	6.90e-72	XP_003108027.1|CRE_12649|111
CRE_12648	6237	1.05e-05	XP_003107747.1|CRE_12648|142
CRE_12647	6237	2.69e-85	XP_003107833.1|CRE_12647|426
CRE_12474	6237	6.70e-138	XP_003107823.1|CRE_12474|353
CRE_12473	6237	2.35e-147	XP_003107720.1|CRE_12473|360
CRE_12472	6237	2.82e-178	XP_003107777.1|CRE_12472|347
CRE_13415	6237	1.77e-31	XP_003107637.1|CRE_13415|69
CRE_12471	6237	4.48e-264	XP_003107828.1|Cre-nas-8|415
CRE_12469	6237	2.19e-139	XP_003107987.1|CRE_12469|330
CRE_12646	6237	8.93e-100	XP_003107757.1|CRE_12646|341
CRE_12645	6237	0.0	XP_003108033.1|Cre-deb-1|1010
CRE_12644	6237	6.70e-182	XP_003108029.1|Cre-rps-4|259
CRE_12643	6237	2.23e-199	XP_003107759.1|CRE_12643|338
CRE_12468	6237	2.50e-26	XP_003108004.1|CRE_12468|122
CRE_12641	6237	9.36e-142	XP_003107795.1|Cre-srg-50|667
CRE_12640	6237	5.22e-64	XP_003107938.1|CRE_12640|650
CRE_12467	6237	3.79e-20	XP_003107756.1|CRE_12467|94
CRE_12466	6237	4.57e-130	XP_003107851.1|CRE_12466|278
CRE_12464	6237	9.26e-116	XP_003107736.1|CRE_12464|446
CRE_12463	6236	2.08e-20	XP_003107788.1|CRE_12463|380
CRE_12470	6237	1.13e-61	XP_003108009.1|CRE_12470|283
CRE_13324	6237	2.84e-138	XP_003107625.1|CRE_13324|248
CRE_13414	6237	1.50e-263	XP_003107655.1|CRE_13414|378
CRE_13323	6237	4.82e-285	XP_003107540.1|CRE_13323|566
