#gene_id	taxID	e_value	fasta_id
LOC121390838			
LOC121390839	33208	6.88E-21	XP_041378653.1|LOC121390839|178
LOC121390840	1913989	4.31E-48	XP_041378654.1|LOC121390840|126
LOC121385644	6448	3.37E-81	XP_041372336.1|LOC121385644|307
LOC121385187	6448	1.64E-133	XP_041371692.1|LOC121385187|384
LOC121385611	6454	0	XP_041372289.1|LOC121385611|2150
LOC121385411	6452	2.3E-156	XP_041372016.1|LOC121385411|549
LOC121385192	6448	3.55E-140	XP_041371695.1|LOC121385192|777
LOC121385473	36100	4.06E-115	XP_041372105.1|LOC121385473|312
LOC121385474	6448	3.94E-133	XP_041372106.1|LOC121385474|711
LOC121385638	6448	9.4E-23	XP_041372328.1|LOC121385638|217
LOC121385212	6448	3.82E-62	XP_041371716.1|LOC121385212|451
LOC121385328	6448	0	XP_041371899.1|LOC121385328|898
LOC121385001	6448	1.82E-34	XP_041371459.1|LOC121385001|150
LOC121385003	6448	1.19E-33	XP_041371461.1|LOC121385003|171
LOC121385011	6448	1.1E-26	XP_041371473.1|LOC121385011|150
LOC121385325	6448	5.25E-206	XP_041371897.1|LOC121385325|388
LOC121384993	6448	3.64E-56	XP_041371441.1|LOC121384993|393
LOC121385446			XP_041372066.1|LOC121385446|636
LOC121385475	6452	1.67E-21	XP_041372107.1|LOC121385475|359
LOC121385650	6452	2.78E-31	XP_041372346.1|LOC121385650|280
LOC121385271	6454	2.34E-254	XP_041371810.1|LOC121385271|1252
LOC121385186	6448	1.42E-214	XP_041371687.1|LOC121385186|482
LOC121385476	6448	6.75E-86	XP_041372108.1|LOC121385476|333
LOC121385478	36100	1.65E-203	XP_041372111.1|LOC121385478|433
LOC121385479	6447	1.1E-254	XP_041372112.1|LOC121385479|631
LOC121385193	6448	1.03E-25	XP_041371696.1|LOC121385193|476
LOC121385252	6448	1.36E-113	XP_041371787.1|LOC121385252|339
LOC121385483	6448	1.8E-63	XP_041372115.1|LOC121385483|234
LOC121385484	6545	3.83E-243	XP_041372116.1|LOC121385484|2656
LOC121385617	6448	7.97E-72	XP_041372297.1|LOC121385617|1019
LOC121385012	6448	1.22E-242	XP_041371475.1|LOC121385012|659
LOC121385705	6452	3.74E-51	XP_041372413.1|LOC121385705|182
LOC121385571	6452	2.02E-57	XP_041372238.1|LOC121385571|263
LOC121385570	6447	1.27E-29	XP_041372236.1|LOC121385570|375
LOC121385572	6448	1.06E-113	XP_041372239.1|LOC121385572|237
LOC121385569	6454	1.14E-12	XP_041372235.1|LOC121385569|486
LOC121385008			XP_041371465.1|LOC121385008|878
LOC121385009	6448	2.61E-286	XP_041371471.1|LOC121385009|509
LOC121385357	6452	2.25E-179	XP_041371936.1|LOC121385357|749
LOC121385486			XP_041372119.1|LOC121385486|263
LOC121385568	6448	0	XP_041372225.1|LOC121385568|1461
LOC121385635	6452	1.9E-217	XP_041372323.1|LOC121385635|831
LOC121385236	6452	2.62E-60	XP_041371753.1|LOC121385236|166
LOC121385487	6448	1.36E-55	XP_041372120.1|LOC121385487|486
LOC121385488	6452	6.2E-21	XP_041372121.1|LOC121385488|565
LOC121385251	6452	0	XP_041371786.1|LOC121385251|3004
LOC121385489	6448	7.93E-250	XP_041372122.1|LOC121385489|679
LOC121385490	6448	6.32E-93	XP_041372123.1|LOC121385490|346
LOC121385491	6448	0	XP_041372124.1|LOC121385491|1051
LOC121385493	6448	5.78E-13	XP_041372127.1|LOC121385493|848
LOC121385494			XP_041372128.1|LOC121385494|56
LOC121385690	6452	3.8E-37	XP_041372396.1|LOC121385690|131
LOC121384996	6452	3.25E-17	XP_041371453.1|LOC121384996|184
LOC121385448	6579	2.75E-13	XP_041372069.1|LOC121385448|1248
LOC121385394			
LOC121385495	6448	3.22E-78	XP_041372129.1|LOC121385495|178
LOC121385496	6448	9.67E-167	XP_041372130.1|LOC121385496|475
LOC121385370			
LOC121385497	6448	9.75E-138	XP_041372131.1|LOC121385497|369
LOC121385648	6452	0	XP_041372344.1|LOC121385648|1663
LOC121385331	6448	1.77E-105	XP_041371904.1|LOC121385331|228
LOC121385696	6448	3.49E-171	XP_041372403.1|LOC121385696|350
LOC121385292	6448	1.97E-116	XP_041371846.1|LOC121385292|296
LOC121385500			XP_041372136.1|LOC121385500|149
LOC121385501	6448	1.21E-59	XP_041372137.1|LOC121385501|182
LOC121385503	6448	6.33E-95	XP_041372139.1|LOC121385503|263
LOC121385300	6452	0	XP_041371853.1|LOC121385300|2002
LOC121385504	6452	0	XP_041372140.1|LOC121385504|1002
LOC121385343	6452	0	XP_041371919.1|LOC121385343|1133
LOC121385344	6564	9.38E-25	XP_041371921.1|LOC121385344|136
LOC121385342	6452	0	XP_041371918.1|LOC121385342|1142
LOC121385634	6454	0	XP_041372322.1|LOC121385634|1246
LOC121384950	6452	8.63E-93	XP_041371376.1|LOC121384950|347
LOC121385505	6452	3.07E-81	XP_041372141.1|LOC121385505|353
LOC121385399			XP_041372002.1|LOC121385399|201
LOC121385398			XP_041372000.1|LOC121385398|203
LOC121384982			XP_041371426.1|LOC121384982|122
LOC121385593			
LOC121385452	6452	7.66E-42	XP_041372071.1|LOC121385452|242
LOC121385269	36100	2.6E-10	XP_041371808.1|LOC121385269|128
LOC121385321	6454	1.36E-164	XP_041371888.1|LOC121385321|736
LOC121385457	6448	1.59E-157	XP_041372081.1|LOC121385457|402
LOC121385218	6452	7.78E-244	XP_041371732.1|LOC121385218|1010
LOC121385002	6452	3.21E-120	XP_041371460.1|LOC121385002|308
LOC121385339			XP_041371916.1|LOC121385339|167
LOC121385299	6448	3.53E-99	XP_041371852.1|LOC121385299|411
LOC121385561	6448	1.79E-14	XP_041372216.1|LOC121385561|113
LOC121385560	6448	0	XP_041372212.1|LOC121385560|2079
LOC121385415			
LOC121385425	6452	1.3E-194	XP_041372035.1|LOC121385425|418
LOC121385183	6448	3.03E-15	XP_041371679.1|LOC121385183|136
LOC121385509	6454	9.06E-96	XP_041372147.1|LOC121385509|314
LOC121385510	6448	1.73E-44	XP_041372148.1|LOC121385510|223
LOC121385182	6448	7.24E-115	XP_041371678.1|LOC121385182|295
LOC121385512	6452	4.09E-114	XP_041372151.1|LOC121385512|335
LOC121385645	6448	3.92E-75	XP_041372338.1|LOC121385645|228
LOC121385585	6452	8.11E-58	XP_041372257.1|LOC121385585|162
LOC121385389			
LOC121385670	36100	5.26E-162	XP_041372370.1|LOC121385670|953
LOC121385360	6452	0	XP_041371944.1|LOC121385360|6785
LOC121384974	36100	1.81E-17	XP_041371415.1|LOC121384974|483
LOC121385513	6573	1.41E-96	XP_041372152.1|LOC121385513|370
LOC121385472	36100	3.24E-17	XP_041372104.1|LOC121385472|482
LOC121385434	6452	4.34E-126	XP_041372048.1|LOC121385434|488
LOC121385277	6448	2.65E-113	XP_041371823.1|LOC121385277|345
LOC121385471	6448	8.13E-46	XP_041372102.1|LOC121385471|171
LOC121385270	6448	5.82E-25	XP_041371809.1|LOC121385270|249
LOC121385684	6452	3.27E-63	XP_041372386.1|LOC121385684|170
LOC121385584	6454	1.05E-21	XP_041372256.1|LOC121385584|694
LOC121385686	6452	3.88E-25	XP_041372388.1|LOC121385686|172
LOC121385514	6448	1.48E-259	XP_041372153.1|LOC121385514|830
LOC121385305	33317	4.25E-06	XP_041371862.1|LOC121385305|175
LOC121385515	27439	1.07E-10	XP_041372154.1|LOC121385515|277
LOC121385304	6448	6.7E-09	XP_041371861.1|LOC121385304|318
LOC121385302	6448	0	XP_041371859.1|LOC121385302|667
LOC121385303	6448	1.04E-161	XP_041371860.1|LOC121385303|342
LOC121385469	6454	2.35E-119	XP_041372100.1|LOC121385469|362
LOC121385516	6447	4.7E-203	XP_041372156.1|LOC121385516|500
LOC121385492	6454	7.67E-99	XP_041372126.1|LOC121385492|334
LOC121385673	6452	0	XP_041372375.1|LOC121385673|1235
LOC121385517	36100	5.6E-14	XP_041372157.1|LOC121385517|680
LOC121385653			XP_041372348.1|LOC121385653|244
LOC121385519	6452	9.54E-23	XP_041372159.1|LOC121385519|275
LOC121385603			
LOC121385559	6448	1.22E-186	XP_041372208.1|LOC121385559|366
LOC121385290	6448	2.14E-29	XP_041371844.1|LOC121385290|261
LOC121385521	6448	0	XP_041372160.1|LOC121385521|2025
LOC121385354			XP_041371931.1|LOC121385354|311
LOC121385563	6452	5.81E-116	XP_041372220.1|LOC121385563|477
LOC121385564	6454	3.68E-43	XP_041372223.1|LOC121385564|484
LOC121385367	6448	3.44E-306	XP_041371959.1|LOC121385367|543
LOC121385238	6452	5.17E-116	XP_041371760.1|LOC121385238|566
LOC121385258	6452	1.35E-196	XP_041371798.1|LOC121385258|825
LOC121385523	6448	3.74E-41	XP_041372164.1|LOC121385523|282
LOC121384972			
LOC121385368	6448	1.58E-196	XP_041371960.1|LOC121385368|465
LOC121385374	6448	1.47E-246	XP_041371969.1|LOC121385374|497
LOC121385400	6448	2.39E-234	XP_041372004.1|LOC121385400|534
LOC121385402			
LOC121385401	104711	1E-108	XP_041372005.1|LOC121385401|238
LOC121384978	6452	6.9E-36	XP_041371420.1|LOC121384978|198
LOC121385361	6448	0	XP_041371951.1|LOC121385361|631
LOC121385171	6448	0	XP_041371654.1|LOC121385171|970
LOC121385596	6448	1.3E-38	XP_041372270.1|LOC121385596|81
LOC121385524	6452	2.42E-147	XP_041372165.1|LOC121385524|673
LOC121385594	6448	5.98E-136	XP_041372268.1|LOC121385594|340
LOC121385181	6452	2.51E-65	XP_041371677.1|LOC121385181|283
LOC121385217	6448	0	XP_041371729.1|LOC121385217|892
LOC121385215	6448	2.33E-21	XP_041371723.1|LOC121385215|164
LOC121384965	6448	4.55E-203	XP_041371394.1|LOC121384965|514
LOC121385699	6448	2.7E-122	XP_041372406.1|LOC121385699|263
LOC121385700	36100	1.37E-52	XP_041372409.1|LOC121385700|250
LOC121384970			
LOC121385455	6454	5.58E-55	XP_041372076.1|LOC121385455|268
LOC121385231	33317	7.91E-40	XP_041371747.1|LOC121385231|202
LOC121385214	6452	2.53E-25	XP_041371722.1|LOC121385214|85
LOC121385525	6454	4.89E-30	XP_041372166.1|LOC121385525|410
LOC121385687	6454	2.71E-52	XP_041372389.1|LOC121385687|419
LOC121385526	6454	5.11E-32	XP_041372167.1|LOC121385526|147
LOC121385384	6448	8.93E-281	XP_041371986.1|LOC121385384|634
LOC121385385	2785011	1.15E-198	XP_041371987.1|LOC121385385|467
LOC121385527			XP_041372168.1|LOC121385527|198
LOC121385275	6448	5.88E-127	XP_041371817.1|LOC121385275|395
LOC121385442	6452	4.28E-135	XP_041372058.1|LOC121385442|411
LOC121385643	6448	2.96E-38	XP_041372334.1|LOC121385643|193
LOC121385528	6452	3.07E-89	XP_041372169.1|LOC121385528|290
LOC121385615	6452	3.04E-154	XP_041372294.1|LOC121385615|377
LOC121385529	6452	0	XP_041372171.1|LOC121385529|822
LOC121385530	6448	0	XP_041372172.1|LOC121385530|1790
LOC121385248			
LOC121385232	6448	4.18E-80	XP_041371748.1|LOC121385232|183
LOC121385233	6448	0	XP_041371750.1|LOC121385233|770
LOC121385531	6448	6.18E-27	XP_041372173.1|LOC121385531|503
LOC121385532	6448	2.56E-23	XP_041372174.1|LOC121385532|340
LOC121385581	6448	4.24E-157	XP_041372252.1|LOC121385581|461
LOC121385609	6448	1.48E-27	XP_041372288.1|LOC121385609|81
LOC121385533	6448	1.09E-27	XP_041372175.1|LOC121385533|209
LOC121385534	6448	2.15E-30	XP_041372176.1|LOC121385534|146
LOC121385274	6448	1.39E-168	XP_041371816.1|LOC121385274|327
LOC121385428	6448	6.63E-114	XP_041372039.1|LOC121385428|514
LOC121385619	6448	6.48E-99	XP_041372300.1|LOC121385619|548
LOC121385289	6448	4.61E-113	XP_041371843.1|LOC121385289|243
LOC121385327	6448	3.5E-152	XP_041371898.1|LOC121385327|676
LOC121385178			
LOC121385535	6448	1.27E-50	XP_041372178.1|LOC121385535|230
LOC121385237	6452	4.43E-167	XP_041371755.1|LOC121385237|546
LOC121385358	6448	8.73E-208	XP_041371942.1|LOC121385358|505
LOC121384955	6452	1.36E-289	XP_041371382.1|LOC121384955|1142
LOC121385294	6448	1.28E-101	XP_041371848.1|LOC121385294|259
LOC121385239			XP_041371764.1|LOC121385239|1069
LOC121385240	6452	2.76E-51	XP_041371765.1|LOC121385240|421
LOC121385470	6448	0	XP_041372101.1|LOC121385470|590
Trnas-gcu-2			
LOC121385418	6448	1.23E-64	XP_041372025.1|LOC121385418|182
LOC121385537	6448	4.93E-92	XP_041372180.1|LOC121385537|173
LOC121385406	6448	8.09E-50	XP_041372010.1|LOC121385406|115
LOC121385259	6448	2.89E-27	XP_041371800.1|LOC121385259|92
LOC121385244	6454	2.29E-31	XP_041371774.1|LOC121385244|686
LOC121385538	6448	1.81E-48	XP_041372181.1|LOC121385538|364
LOC121384954	6448	2.87E-87	XP_041371381.1|LOC121384954|271
LOC121385379	6448	7.42E-165	XP_041371978.1|LOC121385379|469
LOC121385536	6452	1.32E-65	XP_041372179.1|LOC121385536|161
