#gene_id	taxID	e_value	fasta_id
LOC108692454	12956	0.0	XP_018056186.1|LOC108692454|1082
LOC108688386	12956	4.26e-170	XP_018050118.1|LOC108688386|346
LOC108688392	12956	2.26e-182	XP_018050127.1|LOC108688392|283
LOC108688391	12956	0.0	XP_018050125.1|LOC108688391|869
LOC108688389	12956	1.63e-91	XP_018050123.1|LOC108688389|140
LOC108688385	12956	5.19e-210	XP_018050117.1|LOC108688385|336
LOC108691079	12956	4.75e-287	XP_018054206.1|LOC108691079|388
LOC108690189	12956	3.17e-172	XP_018052854.1|LOC108690189|235
LOC108690201	12956	0.0	XP_018052870.1|LOC108690201|704
LOC108690196	12956	0.0	XP_018052858.1|LOC108690196|4219
LOC108690200	12956	0.0	XP_018052869.1|LOC108690200|915
LOC108690195	12956	9.25e-245	XP_018052856.1|LOC108690195|327
LOC108690188	12956	5.66e-313	XP_018052852.1|LOC108690188|428
LOC108690187	12956	4.83e-94	XP_018052851.1|LOC108690187|142
LOC108688378	12956	0.0	XP_018050106.1|LOC108688378|572
LOC108690199	12956	1.35e-306	XP_018052868.1|LOC108690199|552
LOC108691138	12956	2.46e-200	XP_018054282.1|LOC108691138|308
LOC108691133	12956	4.30e-186	XP_018054275.1|LOC108691133|272
LOC108691128	12956	2.97e-70	XP_018054271.1|LOC108691128|293
LOC108691134	12956	0.0	XP_018054277.1|LOC108691134|645
LOC108691131	12956	2.83e-134	XP_018054273.1|LOC108691131|203
LOC108691129	12956	3.09e-285	XP_018054272.1|LOC108691129|428
LOC108691132	12956	4.23e-111	XP_018054274.1|LOC108691132|166
LOC108691127	12956	0.0	XP_018054270.1|LOC108691127|633
LOC108691136	12956	0.0	XP_018054279.1|LOC108691136|462
LOC108691137	12956	2.96e-238	XP_018054281.1|LOC108691137|321
LOC108691126	12956	0.0	XP_018054269.1|LOC108691126|861
LOC108691866	12956	1.71e-98	XP_018055291.1|LOC108691866|192
LOC108691865	12956	5.15e-107	XP_018055290.1|LOC108691865|245
LOC108692512	12956	0.0	XP_018056294.1|LOC108692512|472
LOC108691872	12956	0.0	XP_018055295.1|LOC108691872|441
LOC108688395	12956	2.02e-52	XP_018050131.1|LOC108688395|117
LOC108688383	12956	0.0	XP_018050115.1|LOC108688383|550
LOC108690660	12956	5.04e-228	XP_018053544.1|LOC108690660|299
LOC108690662	12956	1.37e-287	XP_018053546.1|LOC108690662|399
LOC108690657	12956	0.0	XP_018053541.1|LOC108690657|564
LOC108690666	12956	0.0	XP_018053558.1|LOC108690666|1251
LOC108690667	12956	1.30e-37	XP_018053559.1|LOC108690667|112
LOC108691227	12956	9.98e-151	XP_018054392.1|LOC108691227|236
LOC108691219	12956	0.0	XP_018054377.1|LOC108691219|566
LOC108691220	12956	0.0	XP_018054378.1|LOC108691220|480
LOC108691212	12956	2.30e-310	XP_018054365.1|LOC108691212|436
LOC108691208	12956	0.0	XP_018054360.1|LOC108691208|1241
LOC108691207	12956	2.78e-106	XP_018054359.1|LOC108691207|175
LOC108691224	12956	2.23e-259	XP_018054384.1|LOC108691224|350
LOC108691225	12956	7.76e-277	XP_018054390.1|LOC108691225|406
LOC108688382	12956	0.0	XP_018050112.1|LOC108688382|566
LOC108691214	12956	6.85e-271	XP_018054367.1|LOC108691214|394
LOC108691216	12956	0.0	XP_018054371.1|LOC108691216|492
LOC108691226	12956	6.85e-244	XP_018054391.1|LOC108691226|354
LOC108690460	12956	1.06e-14	XP_018053256.1|LOC108690460|58
LOC108690320	12956	0.0	XP_018053038.1|LOC108690320|975
LOC108690315	12956	6.20e-170	XP_018053032.1|LOC108690315|262
LOC108690318	12956	0.0	XP_018053036.1|LOC108690318|1284
LOC108690319	12956	0.0	XP_018053037.1|LOC108690319|502
LOC108690325	12956	0.0	XP_018053047.1|LOC108690325|811
LOC108690326	12956	0.0	XP_018053050.1|LOC108690326|691
LOC108690324	12956	0.0	XP_018053043.1|LOC108690324|1728
LOC108690322	12956	0.0	XP_018053042.1|LOC108690322|2940
LOC108688387	12956	7.05e-103	XP_018050122.1|LOC108688387|147
LOC108688380	12956	0.0	XP_018050111.1|LOC108688380|564
LOC108691217	12956	1.36e-264	XP_018054372.1|LOC108691217|358
LOC108691864	12956	3.61e-300	XP_018055288.1|LOC108691864|602
LOC108686560	12956	1.29e-132	XP_018047415.1|LOC108686560|169
LOC108686499	12956	1.84e-287	XP_018047327.1|LOC108686499|685
LOC108686542	12956	3.00e-181	XP_018047392.1|LOC108686542|271
LOC108686534	12956	0.0	XP_018047380.1|LOC108686534|728
LOC108686549	12956	0.0	XP_018047400.1|LOC108686549|713
LOC108686545	12956	3.68e-136	XP_018047394.1|LOC108686545|202
LOC108686540	12956	2.03e-170	XP_018047388.1|LOC108686540|258
LOC108686539	12956	2.78e-175	XP_018047387.1|LOC108686539|258
LOC108686541	12956	5.16e-171	XP_018047390.1|LOC108686541|258
LOC108686533	12956	0.0	XP_018047375.1|LOC108686533|1162
LOC108686585	12956	1.91e-234	XP_018047448.1|LOC108686585|339
LOC108686489	12956	3.43e-141	XP_018047317.1|LOC108686489|211
LOC108686564	12956	1.97e-255	XP_018047423.1|LOC108686564|336
LOC108686516	12956	0.0	XP_018047355.1|LOC108686516|592
LOC108686571	12956	0.0	XP_018047432.1|LOC108686571|476
LOC108686546	12956	1.40e-156	XP_018047396.1|LOC108686546|220
LOC108686506	12956	9.26e-245	XP_018047335.1|LOC108686506|336
LOC108686598	12956	0.0	XP_018047479.1|LOC108686598|640
LOC108686599	12956	0.0	XP_018047483.1|LOC108686599|602
LOC108686508	12956	9.18e-280	XP_018047340.1|LOC108686508|569
LOC108686524	12956	1.22e-183	XP_018047361.1|LOC108686524|252
LOC108686629	12956	0.0	XP_018047536.1|LOC108686629|1114
LOC108686622	12956	1.42e-267	XP_018047524.1|LOC108686622|378
LOC108686573	12956	4.41e-85	XP_018047434.1|LOC108686573|122
LOC108686553	12956	0.0	XP_018047405.1|LOC108686553|553
LOC108686488	12956	0.0	XP_018047316.1|LOC108686488|542
LOC108686580	12956	8.59e-41	XP_018047443.1|LOC108686580|65
LOC108686526	12956	0.0	XP_018047368.1|LOC108686526|574
LOC108686501	12956	0.0	XP_018047328.1|LOC108686501|549
LOC108686503	12956	1.61e-158	XP_018047330.1|LOC108686503|235
LOC108686505	12956	0.0	XP_018047334.1|LOC108686505|481
LOC108686536	12956	0.0	XP_018047382.1|LOC108686536|512
LOC108686547	12956	6.44e-107	XP_018047397.1|LOC108686547|168
LOC108686538	12956	3.07e-297	XP_018047384.1|LOC108686538|426
LOC108686552	12956	0.0	XP_018047404.1|LOC108686552|672
LOC108686576	12956	1.41e-204	XP_018047439.1|LOC108686576|294
LOC108686570	12956	9.94e-220	XP_018047429.1|LOC108686570|343
LOC108686631	12956	0.0	XP_018047542.1|LOC108686631|674
LOC108686561	12956	0.0	XP_018047416.1|LOC108686561|779
